test	run1	run2	run3	verdict	cause
InputDevicePropertyTest.testTouch(TestTouchDevice)[10]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testTouch(TestTouchDevice)[11]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testTouch(TestTouchDevice)[12]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testTouch(TestTouchDevice)[13]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testTouch(TestTouchDevice)[14]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testTouch(TestTouchDevice)[15]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testTouch(TestTouchDevice)[1]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testTouch(TestTouchDevice)[2]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testTouch(TestTouchDevice)[3]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testTouch(TestTouchDevice)[4]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testTouch(TestTouchDevice)[5]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testTouch(TestTouchDevice)[6]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testTouch(TestTouchDevice)[7]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testTouch(TestTouchDevice)[8]	PASS	PASS	PASS	stable-pass	
InputDevicePropertyTest.testTouch(TestTouchDevice)[9]	PASS	PASS	PASS	stable-pass	
IntSetTest.testAddInOrderRemoveInOrder(Parameter)[1]	PASS	PASS	PASS	stable-pass	
IntSetTest.testAddInOrderRemoveInOrder(Parameter)[2]	PASS	PASS	PASS	stable-pass	
IntSetTest.testAddInOrderRemoveInOrder(Parameter)[3]	PASS	PASS	PASS	stable-pass	
IntSetTest.testAddInOrderRemoveInOrder(Parameter)[4]	PASS	PASS	PASS	stable-pass	
IntSetTest.testAddInOrderRemoveInOrder(Parameter)[5]	PASS	PASS	PASS	stable-pass	
IntSetTest.testAddInOrderRemoveInOrder(Parameter)[6]	PASS	PASS	PASS	stable-pass	
IntSetTest.testAddInOrderRemoveInReverse(Parameter)[1]	PASS	PASS	PASS	stable-pass	
IntSetTest.testAddInOrderRemoveInReverse(Parameter)[2]	PASS	PASS	PASS	stable-pass	
IntSetTest.testAddInOrderRemoveInReverse(Parameter)[3]	PASS	PASS	PASS	stable-pass	
IntSetTest.testAddInOrderRemoveInReverse(Parameter)[4]	PASS	PASS	PASS	stable-pass	
